,frequency,gain,plant,distance
429,457685699.99999994,-52.88235,lilium,20
430,458752333.3333333,-52.88276,lilium,20
431,459818966.6666666,-52.80662,lilium,20
432,460885599.99999994,-52.73049,lilium,20
433,461952233.3333333,-52.65435,lilium,20
434,463018866.6666666,-52.57822,lilium,20
435,464085499.99999994,-52.50209,lilium,20
436,465152133.3333333,-52.58554,lilium,20
437,466218766.6666666,-52.66899,lilium,20
438,467285399.99999994,-52.75243,lilium,20
439,468352033.3333333,-52.83588,lilium,20
440,469418666.6666666,-52.91932,lilium,20
441,470485299.99999994,-53.11372,lilium,20
442,471551933.3333333,-53.30811,lilium,20
443,472618566.6666666,-53.50251,lilium,20
444,473685199.99999994,-53.69691,lilium,20
445,474751833.3333333,-53.89131,lilium,20
446,475818466.6666666,-53.86511,lilium,20
447,476885099.99999994,-53.83892,lilium,20
448,477951733.3333333,-53.81272,lilium,20
449,479018366.6666666,-53.78653,lilium,20
450,480084999.99999994,-53.76034,lilium,20
451,481151633.3333333,-53.69147,lilium,20
452,482218266.6666666,-53.62261,lilium,20
453,483284899.99999994,-53.55375,lilium,20
454,484351533.3333333,-53.48489,lilium,20
455,485418166.6666666,-53.41603,lilium,20
456,486484799.99999994,-53.47097,lilium,20
457,487551433.3333333,-53.52591,lilium,20
458,488618066.6666666,-53.58085,lilium,20
459,489684699.99999994,-53.63579,lilium,20
460,490751333.3333333,-53.69073,lilium,20
461,491817966.6666666,-53.8346,lilium,20
462,492884599.99999994,-53.97847,lilium,20
463,493951233.3333333,-54.12234,lilium,20
464,495017866.6666666,-54.26621,lilium,20
465,496084499.99999994,-54.41008,lilium,20
466,497151133.3333333,-54.53869,lilium,20
467,498217766.6666666,-54.6673,lilium,20
468,499284399.99999994,-54.79591,lilium,20
469,500351033.3333333,-54.92453,lilium,20
470,501417666.6666666,-55.05313,lilium,20
471,502484299.99999994,-55.14256,lilium,20
472,503550933.3333333,-55.23198,lilium,20
473,504617566.6666666,-55.3214,lilium,20
474,505684199.99999994,-55.41083,lilium,20
475,506750833.3333333,-55.50025,lilium,20
476,507817466.6666666,-55.44564,lilium,20
477,508884099.99999994,-55.39104,lilium,20
478,509950733.3333333,-55.33644,lilium,20
479,511017366.6666666,-55.28183,lilium,20
480,512083999.99999994,-55.22723,lilium,20
481,513150633.3333333,-55.18244,lilium,20
482,514217266.6666666,-55.13765,lilium,20
483,515283899.99999994,-55.09286,lilium,20
484,516350533.3333333,-55.04807,lilium,20
485,517417166.6666666,-55.00327,lilium,20
486,518483799.99999994,-55.1444,lilium,20
487,519550433.3333333,-55.28554,lilium,20
488,520617066.6666666,-55.42667,lilium,20
489,521683699.99999994,-55.56781,lilium,20
490,522750333.3333333,-55.70895,lilium,20
491,523816966.6666666,-55.85922,lilium,20
492,524883599.99999994,-56.00949,lilium,20
493,525950233.3333333,-56.15977,lilium,20
494,527016866.6666666,-56.31004,lilium,20
495,528083499.99999994,-56.46031,lilium,20
496,529150133.3333333,-56.49902,lilium,20
497,530216766.6666666,-56.53772,lilium,20
498,531283399.99999994,-56.57642,lilium,20
499,532350033.3333333,-56.61513,lilium,20
500,533416666.6666666,-56.65382,lilium,20
501,534483299.99999994,-56.79297,lilium,20
502,535549933.3333333,-56.93211,lilium,20
503,536616566.6666666,-57.07126,lilium,20
504,537683200.0,-57.2104,lilium,20
505,538749833.3333333,-57.34955,lilium,20
506,539816466.6666666,-57.27576,lilium,20
507,540883100.0,-57.20198,lilium,20
508,541949733.3333333,-57.1282,lilium,20
509,543016366.6666666,-57.05441,lilium,20
510,544083000.0,-56.98063,lilium,20
511,545149633.3333333,-56.74907,lilium,20
512,546216266.6666666,-56.51751,lilium,20
513,547282900.0,-56.28595,lilium,20
514,548349533.3333333,-56.05439,lilium,20
515,549416166.6666666,-55.82282,lilium,20
516,550482800.0,-55.74594,lilium,20
517,551549433.3333333,-55.66907,lilium,20
518,552616066.6666666,-55.59219,lilium,20
519,553682700.0,-55.51531,lilium,20
520,554749333.3333333,-55.43843,lilium,20
521,555815966.6666666,-55.339,lilium,20
522,556882600.0,-55.23957,lilium,20
523,557949233.3333333,-55.14015,lilium,20
524,559015866.6666666,-55.04072,lilium,20
525,560082500.0,-54.94129,lilium,20
526,561149133.3333333,-54.76078,lilium,20
527,562215766.6666666,-54.58028,lilium,20
528,563282400.0,-54.39977,lilium,20
529,564349033.3333333,-54.21926,lilium,20
530,565415666.6666666,-54.03876,lilium,20
531,566482300.0,-53.88327,lilium,20
532,567548933.3333333,-53.72778,lilium,20
533,568615566.6666666,-53.57229,lilium,20
534,569682200.0,-53.4168,lilium,20
535,570748833.3333333,-53.2613,lilium,20
536,571815466.6666666,-52.90888,lilium,20
537,572882100.0,-52.55646,lilium,20
538,573948733.3333333,-52.20404,lilium,20
539,575015366.6666666,-51.85162,lilium,20
540,576082000.0,-51.49919,lilium,20
541,577148633.3333333,-51.33552,lilium,20
542,578215266.6666666,-51.17184,lilium,20
543,579281900.0,-51.00817,lilium,20
544,580348533.3333333,-50.8445,lilium,20
545,581415166.6666666,-50.68082,lilium,20
546,582481800.0,-50.47207,lilium,20
547,583548433.3333333,-50.26332,lilium,20
548,584615066.6666666,-50.05457,lilium,20
549,585681700.0,-49.84581,lilium,20
550,586748333.3333333,-49.63707,lilium,20
551,587814966.6666666,-49.53786,lilium,20
552,588881600.0,-49.43865,lilium,20
553,589948233.3333333,-49.33944,lilium,20
554,591014866.6666666,-49.24023,lilium,20
555,592081500.0,-49.14103,lilium,20
556,593148133.3333333,-49.03154,lilium,20
557,594214766.6666666,-48.92205,lilium,20
558,595281400.0,-48.81255,lilium,20
559,596348033.3333333,-48.70306,lilium,20
560,597414666.6666666,-48.59357,lilium,20
561,598481300.0,-48.34502,lilium,20
562,599547933.3333333,-48.09647,lilium,20
563,600614566.6666666,-47.84793,lilium,20
564,601681200.0,-47.59938,lilium,20
565,602747833.3333333,-47.35083,lilium,20
566,603814466.6666666,-47.22328,lilium,20
567,604881100.0,-47.09573,lilium,20
568,605947733.3333333,-46.96818,lilium,20
569,607014366.6666666,-46.84063,lilium,20
570,608081000.0,-46.71307,lilium,20
571,609147633.3333333,-46.59191,lilium,20
572,610214266.6666666,-46.47075,lilium,20
573,611280900.0,-46.34959,lilium,20
574,612347533.3333333,-46.22842,lilium,20
575,613414166.6666666,-46.10725,lilium,20
576,614480800.0,-45.97268,lilium,20
577,615547433.3333333,-45.83811,lilium,20
578,616614066.6666666,-45.70354,lilium,20
579,617680700.0,-45.56897,lilium,20
580,618747333.3333333,-45.43439,lilium,20
581,619813966.6666666,-45.39476,lilium,20
582,620880600.0,-45.35513,lilium,20
583,621947233.3333333,-45.3155,lilium,20
584,623013866.6666666,-45.27587,lilium,20
585,624080500.0,-45.23625,lilium,20
586,625147133.3333333,-45.14842,lilium,20
587,626213766.6666666,-45.06059,lilium,20
588,627280400.0,-44.97276,lilium,20
589,628347033.3333333,-44.88493,lilium,20
590,629413666.6666666,-44.79709,lilium,20
591,630480300.0,-44.77329,lilium,20
592,631546933.3333333,-44.74949,lilium,20
593,632613566.6666666,-44.72568,lilium,20
594,633680200.0,-44.70188,lilium,20
595,634746833.3333333,-44.67807,lilium,20
596,635813466.6666666,-44.63719,lilium,20
597,636880100.0,-44.59631,lilium,20
598,637946733.3333333,-44.55543,lilium,20
599,639013366.6666666,-44.51455,lilium,20
600,640080000.0,-44.47367,lilium,20
601,641146633.3333333,-44.47099,lilium,20
602,642213266.6666666,-44.46832,lilium,20
603,643279900.0,-44.46564,lilium,20
604,644346533.3333333,-44.46297,lilium,20
605,645413166.6666666,-44.4603,lilium,20
606,646479800.0,-44.51076,lilium,20
607,647546433.3333333,-44.56121,lilium,20
608,648613066.6666666,-44.61166,lilium,20
609,649679700.0,-44.66212,lilium,20
610,650746333.3333333,-44.71256,lilium,20
611,651812966.6666666,-44.79084,lilium,20
612,652879600.0,-44.86911,lilium,20
613,653946233.3333333,-44.94738,lilium,20
614,655012866.6666666,-45.02566,lilium,20
615,656079500.0,-45.10394,lilium,20
616,657146133.3333333,-45.1637,lilium,20
617,658212766.6666666,-45.22346,lilium,20
618,659279400.0,-45.28323,lilium,20
619,660346033.3333333,-45.34299,lilium,20
620,661412666.6666666,-45.40276,lilium,20
621,662479300.0,-45.4301,lilium,20
622,663545933.3333333,-45.45745,lilium,20
623,664612566.6666666,-45.48479,lilium,20
624,665679200.0,-45.51213,lilium,20
625,666745833.3333333,-45.53948,lilium,20
626,667812466.6666666,-45.64223,lilium,20
627,668879100.0,-45.74497,lilium,20
628,669945733.3333333,-45.84772,lilium,20
629,671012366.6666666,-45.95046,lilium,20
630,672079000.0,-46.05322,lilium,20
631,673145633.3333333,-46.23329,lilium,20
632,674212266.6666666,-46.41337,lilium,20
633,675278900.0,-46.59344,lilium,20
634,676345533.3333333,-46.77352,lilium,20
635,677412166.6666666,-46.95359,lilium,20
636,678478800.0,-47.00451,lilium,20
637,679545433.3333333,-47.05543,lilium,20
638,680612066.6666666,-47.10635,lilium,20
639,681678700.0,-47.15726,lilium,20
640,682745333.3333333,-47.20818,lilium,20
641,683811966.6666666,-47.25602,lilium,20
642,684878600.0,-47.30386,lilium,20
643,685945233.3333333,-47.35171,lilium,20
644,687011866.6666666,-47.39955,lilium,20
645,688078500.0,-47.4474,lilium,20
